1534,quangtinh,2020-08-24 20:28:39,quangtinh,2020-08-24 20:28:39,0,29.99,,"<h4>This flared, stretch jersey top features scalloped edges that create a sensationally beautiful neckline.<h4>
<p>Thick, soft jersey made of blended viscose with stretch for comfort<p>
<p>Adjustable spaghetti straps<p>
<p>Flat V-neckline in a scalloped look with an open-edged finish<p>
<p>Flared, A-line silhouette<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Length: Approx. 42 cm (side seam)<p>
<h4>Material and care<h4>
<p>Outer fabric: 73% Viscose, 24% Polyester, 3% Elastane<p>
",Stretch jersey top with a scalloped edge,WOMEN,
1535,quangtinh,2020-08-24 20:28:54,quangtinh,2020-08-24 20:33:16,0,29.99,,"<h4>Sporty stripes and an airy open-work pattern accentuate the functionality of this cool active top.<h4>
<p>Functional jersey with added stretch for comfort and E-DRY technology<p>
<p>Front section with an asymmetric stripe pattern and a fine open-work pattern<p>
<p>Plain-coloured, smooth back section with a neon, reflective zip<p>
<p>Loose, slightly flared silhouette<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 61 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 95% Polyester, 5% Elastane<p>
<p>Backside: 92% Polyester, 8% Elastane<p>
","Jersey top with stripes, E-DRY",WOMEN,
1536,quangtinh,2020-08-24 20:29:26,quangtinh,2020-08-24 20:29:26,0,35.99,,"<h4>This is how elegant a tank top can be: flowing stretch jersey top with shiny decorative trims.<h4>
<p>Soft, flowing jersey made of viscose with added stretch for comfort<p>
<p>Decorative trims on the neckline, armholes and centre front, made of jersey in a shiny satin look<p>
<p>Deep V-neck at the front<p>
<p>Small V-neck at the back<p>
<p>Straight silhouette<p>
<h4>Material and care<h4>
<p>Outer fabric: 95% Viscose, 5% Elastane<p>
<p>Trimming: 100% Viscose<p>
",Stretchy tank top with satin details,WOMEN,
1537,quangtinh,2020-08-24 20:30:08,quangtinh,2020-08-24 20:30:08,0,15.99,,"<h4>This sleeveless top is sustainable and versatile with a classic logo print.<h4>
<p>Soft cotton jersey with added stretch and a minimum of 50% organic cotton<p>
<p>Organic cotton: cotton organically cultivated in a controlled setting<p>
<p>Logo print on the front<p>
<h4>Material and care<h4>
<p>Outer fabric: 95% Cotton, 5% Elastane<p>
",Logo sleeveless top with organic cotton,WOMEN,
1538,quangtinh,2020-08-24 20:30:39,quangtinh,2020-08-24 20:30:39,0,35.99,,"<h4>This blouse top with a modern stand-up collar and artwork print is both summery and elegant.<h4>
<p>Front made of flowing, finely textured fabric with a stylised floral print<p>
<p>Back section and collar made of soft viscose jersey<p>
<p>Stand-up collar in a finely ribbed look with a slit and two button at the back<p>
<p>Sleeveless<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 64 cm<p>
<h4>Material and care<h4>
<p>Front Side: 100% Polyester<p>
<p>Backside: 100% Viscose<p>
<p>Collar: 100% Viscose<p>
",Blouse top in a material mix with a print,WOMEN,
1539,quangtinh,2020-08-24 20:31:05,quangtinh,2020-08-24 20:31:05,0,15.99,,"<h4>This sleeveless, striped top made of sustainable organic cotton is the perfect piece for summer.<h4>
<p>Soft jersey fabric made of 100% organic cotton<p>
<p>Organic cotton: cotton organically cultivated in a controlled setting<p>
<p>Striped pattern<p>
<p>Straight, close-fitting silhouette<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 56 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton (organic)<p>
","Striped T-shirt, organic cotton",WOMEN,
1540,quangtinh,2020-08-24 20:31:31,quangtinh,2020-08-24 20:31:31,0,25.99,,"<h4>This jersey top with elegant embroidery combines summery comfort with colourful decoration for the perfect summer mix!<h4>
<p>Soft jersey fabric composed of pure cotton<p>
<p>Neckline made of lightweight cotton fabric with colourful embroidery<p>
<p>Wide, round neckline with a slit and little button at the back<p>
<p>Sleeveless<p>
<p>Slightly flared silhouette<p>
<p>Side hem slits<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 61 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton<p>
","Top with embroidery, 100% cotton",WOMEN,
1541,quangtinh,2020-08-24 20:31:55,quangtinh,2020-08-24 20:31:56,0,19.99,,"<h4>This tank top made of organic cotton with a recycled plant dye is sustainable, casual and versatile.<h4>
<p>Soft jersey fabric composed of pure organic cotton<p>
<p>Organic cotton: cotton organically cultivated in a controlled setting<p>
<p>Dyed with EarthColors® by Archroma, made from recycled plants.<p>
<p>Round neckline<p>
<p>Unfinished rolled edges<p>
<p>Unique, sustainable and as individual as you: The natural colours of this product can vary with every wash and depending on the light.<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton (organic)<p>
","EarthColors®: top, organic cotton",WOMEN,
1542,quangtinh,2020-08-24 20:32:19,quangtinh,2020-08-24 20:32:20,0,25.99,,"<h4>The small, colourful dimples and the decorative side bow detail make this jersey top a cheerful summer piece!<h4>
<p>Soft, draped jersey with cotton and stretch for comfort<p>
<p>Outer surface with fine, colourful dimples<p>
<p>A decorative bow detail on the side of the hem<p>
<p>Round neckline with a decorative trim<p>
<p>Sleeveless, slightly fitted silhouette<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 58 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 70% Polyester, 26% Cotton, 4% Elastane<p>
",Jersey top with dimples,WOMEN,
1543,quangtinh,2020-08-24 20:32:46,quangtinh,2020-08-24 20:32:47,0,15.99,,"<h4>Gathered straps make this airy textured top in high-quality organic cotton super summery.<h4>
<p>Airily textured jersey composed of 100% organic cotton<p>
<p>Wide straps, gathered at the shoulder with side ribbon ties<p>
<p>Large round neckline<p>
<p>Straight, comfortable cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 62 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton (organic)<p>
",Slub top made of 100% organic cotton,WOMEN,
1544,quangtinh,2020-08-24 20:33:11,quangtinh,2020-08-24 20:33:11,0,29.99,,"<h4>This sleeveless top with tribal embroidery and tasselled ties exudes pure summer vibes.<h4>
<p>Soft, pure cotton jersey<p>
<p>Embroidered neckline yoke made of fabric with a crinkled texture and tasselled ties<p>
<p>Skimming flared cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 62 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton<p>
<p>Trimming: 100% Cotton<p>
","Embroidered T-shirt, 100% cotton",WOMEN,
1545,quangtinh,2020-08-24 20:33:25,quangtinh,2020-08-24 20:33:25,0,29.99,,"<h4>This fashionable melange sleeveless top with mesh details and E-DRY technology combines practicality and fashion.<h4>
<p>Outer fabric made of melange jersey with E-DRY technology<p>
<p>E-DRY: lightweight, breathable and quick-drying<p>
<p>Decorative fine mesh trims on the neckline and armholes<p>
<p>Straight, loose cut<p>
<h4>Size info<h4>
<p>Back length: Approx. 61 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 88% Polyester, 12% Elastane<p>
<p>Trimming: 87% Polyester, 13% Elastane<p>
",Active E-DRY top with mesh details,WOMEN,
1546,quangtinh,2020-08-24 20:33:46,quangtinh,2020-08-24 20:35:22,0,25.99,,"<h4>For 1001 styling ideas: crossed over straps and airy broderie anglaise details give this top a certain je ne sais quoi.<h4>
<p>Jersey fabric composed of pure organic cotton<p>
<p>Organic cotton: cotton organically cultivated in a controlled setting<p>
<p>Neckline and straps with broderie anglaise trims<p>
<p>Round neckline<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton (organic)<p>
<p>Lace: 100% Polyester<p>
",Top with broderie anglaise,WOMEN,
1547,quangtinh,2020-08-24 20:34:20,quangtinh,2020-08-24 20:34:20,0,17.99,,"<h4>This finely ribbed top is a new take on a classic thanks to its puckered edges.<h4>
<p>Ribbed jersey composed of organic cotton with stretch for comfort<p>
<p>Organic cotton: cotton organically cultivated in a controlled setting<p>
<p>Round neckline<p>
<p>Wide armholes<p>
<p>Puckered edges<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 50 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 95% Cotton (organic), 5% Elastane<p>
",Ribbed jersey sleeveless top,WOMEN,
1548,quangtinh,2020-08-24 20:35:05,quangtinh,2020-08-24 20:35:05,0,15.99,,"<h4>This spaghetti strap top in striped rib jersey is a perfect summer basic.<h4>
<p>Ribbed jersey composed of organic cotton with stretch for comfort<p>
<p>Dainty spaghetti straps<p>
<p>Striped pattern<p>
<p>Figure-skimming fit<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 50 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 95% Cotton (organic), 5% Elastane<p>
",Striped rib jersey top,WOMEN,
1549,quangtinh,2020-08-24 20:35:30,quangtinh,2020-08-24 20:35:31,0,17.99,,"<h4>The fine wavy edges give this finely ribbed top a pretty touch.<h4>
<p>Ribbed jersey made of organic cotton with viscose and stretch for comfort<p>
<p>Melange finish<p>
<p>Armholes and hem with ruffled edges<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 49 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 90% Cotton (organic), 5% Elastane, 5% Viscose<p>
",Ribbed jersey top with organic cotton,WOMEN,
1550,quangtinh,2020-08-24 20:35:51,quangtinh,2020-08-24 20:39:58,0,15.99,,"<h4>With first-class organic cotton and a summery print, this sleeveless T-shirt is sure to become a comfy favourite piece.<h4>
<p>Finely textured jersey made of pure organic cotton<p>
<p>Organic cotton: cotton organically cultivated in a controlled setting<p>
<p>Floral print in an artwork style<p>
<p>Straight, figure-skimming cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 56 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton (organic)<p>
",Printed top made of 100% organic cotton,WOMEN,
1551,quangtinh,2020-08-24 20:36:12,quangtinh,2020-08-24 20:40:50,0,15.99,,"<h4>Festival season is coming...and this tank top made of organic cotton with a floral print will really get you in the mood for summer.<h4>
<p>Soft, slightly textured slub jersey made of 100% organic cotton and viscose<p>
<p>Melange finish<p>
<p>Brightly coloured, printed statement<p>
<p>Round neckline with a ribbed trim, reinforced at the nape of the neck<p>
<p>Ribbed sleeve edges<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 59 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 95% Cotton (organic), 5% Viscose<p>
",Tank top with organic cotton,WOMEN,
1552,quangtinh,2020-08-24 20:36:28,quangtinh,2020-08-24 20:36:29,0,19.99,,"<h4>The gathered V-neck with bow detail gives this top a feminine note.<h4>
<p>Soft viscose blend jersey<p>
<p>V-neckline on both sides, with gathering and ribbon tie at the front<p>
<p>Straight, loose cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 59 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 63% Viscose, 32% Polyester, 5% Elastane<p>
",Top with a bow detail,WOMEN,
1553,quangtinh,2020-08-24 20:36:52,quangtinh,2020-08-24 20:36:53,0,19.99,,"<h4>The gathered V-neckline with a bow detail gives this patterned top a feminine touch.<h4>
<p>Soft viscose blend jersey<p>
<p>V-neckline on both sides, with gathering and a ribbon tie at the back<p>
<p>Straight, loose cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 59 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 63% Viscose, 32% Polyester, 5% Elastane<p>
",Print top with a bow detail,WOMEN,
1554,quangtinh,2020-08-24 20:37:26,quangtinh,2020-08-24 20:37:26,0,12.99,,"<h4>Make the most of summer fashion with this versatile, organic cotton sleeveless top for bright and colourful styling ideas!<h4>
<p>Finely textured slub jersey composed of organic cotton with added stretch for comfort<p>
<p>Organic cotton: cotton organically cultivated in a controlled setting<p>
<p>Large, round neckline, reinforced at the nape of the neck<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 58 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 95% Cotton (organic), 5% Elastane<p>
",Organic cotton sleeveless top,WOMEN,
1555,quangtinh,2020-08-24 20:38:00,quangtinh,2020-08-24 20:38:01,0,25.99,,"<h4>The delicate lace flounce around the carmen neckline gives this top a pretty, feminine touch.<h4>
<p>Finely ribbed jersey in pure cotton<p>
<p>Lace flounce with a floral pattern<p>
<p>Slightly elasticated carmen neckline with a lace flounce<p>
<p>Straight, figure-hugging cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 58 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Cotton<p>
<p>Lace: 54% Cotton, 46% Polyester<p>
",Jersey top with a lace flounce,WOMEN,
1556,quangtinh,2020-08-24 20:38:19,quangtinh,2020-08-24 20:38:19,0,49.99,,"<h4>Airy cut, lightweight fabric, delicate design: this blouse top stands out thanks to its ornamental burnout design!<h4>
<p>Soft, semi-sheer jersey in an airy burnout look with ornament motifs<p>
<p>Softly flowing, opaque jersey lining made of viscose with added stretch for comfort<p>
<p>Round neckline with a slit and little button at the back<p>
<p>Sleeveless<p>
<p>Slightly flared silhouette<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Back length: Approx. 59 cm<p>
<h4>Material and care<h4>
<p>Outer fabric: 61% Viscose, 39% Polyester<p>
<p>Lining: 95% Viscose, 5% Elastane<p>
",Blouse top with an ornamental pattern,WOMEN,
1557,quangtinh,2020-08-24 20:38:54,quangtinh,2020-08-24 20:38:55,0,29.99,,"<h4>On its own or worn underneath a blazer or cardigan: A feminine look is guaranteed in this top with delicate lace trim.<h4>
<p>Softly flowing jersey composed of pure, comfortable viscose<p>
<p>V-neckline with wide decorative trims in filigree lace<p>
<p>Wide straps made of filigree lace<p>
<p>Fitted cut<p>
<h4>Size info<h4>
<p>With size S (can vary slightly depending on the size):<p>
<p>Length: Approx. 40 cm (side seam)<p>
<h4>Material and care<h4>
<p>Outer fabric: 100% Viscose<p>
<p>Lace: 100% Polyamide<p>
",Jersey top with lace,WOMEN,
