#,id,created_by,created_date,modified_by,modified_date,description,size_type,modifie_by
99,896,quangtinh,2020-10-02 13:08:45,,2020-10-02 13:08:45,,32/26,quangtinh
100,897,quangtinh,2020-10-02 13:08:45,,2020-10-02 13:08:45,,34/26,quangtinh
101,898,quangtinh,2020-10-02 13:08:45,,2020-10-02 13:08:45,,36/26,quangtinh
102,899,quangtinh,2020-10-02 13:08:45,,2020-10-02 13:08:45,,38/26,quangtinh
103,900,quangtinh,2020-10-02 13:08:45,,2020-10-02 13:08:45,,40/26,quangtinh
104,901,quangtinh,2020-10-02 13:08:45,,2020-10-02 13:08:45,,42/26,quangtinh
105,902,quangtinh,2020-10-02 13:08:45,,2020-10-02 13:08:45,,44/26,quangtinh
106,903,quangtinh,2020-10-02 15:47:14,,2020-10-02 15:47:15,,70 A,quangtinh
107,904,quangtinh,2020-10-02 15:47:15,,2020-10-02 15:47:15,,70 B,quangtinh
108,905,quangtinh,2020-10-02 15:47:15,,2020-10-02 15:47:15,,70 C,quangtinh
109,906,quangtinh,2020-10-02 15:47:15,,2020-10-02 15:47:15,,75 A,quangtinh
110,907,quangtinh,2020-10-02 15:47:16,,2020-10-02 15:47:16,,75 B,quangtinh
111,908,quangtinh,2020-10-02 15:47:16,,2020-10-02 15:47:16,,75 C,quangtinh
112,909,quangtinh,2020-10-02 15:47:16,,2020-10-02 15:47:16,,80 A,quangtinh
113,910,quangtinh,2020-10-02 15:47:16,,2020-10-02 15:47:17,,80 B,quangtinh
114,911,quangtinh,2020-10-02 15:47:17,,2020-10-02 15:47:17,,80 C,quangtinh
115,912,quangtinh,2020-10-02 15:47:17,,2020-10-02 15:47:17,,85 A,quangtinh
116,913,quangtinh,2020-10-02 15:47:18,,2020-10-02 15:47:18,,85 B,quangtinh
117,914,quangtinh,2020-10-02 15:47:29,,2020-10-02 15:47:29,,70 D,quangtinh
118,915,quangtinh,2020-10-02 15:47:30,,2020-10-02 15:47:30,,75 D,quangtinh
119,916,quangtinh,2020-10-02 15:47:31,,2020-10-02 15:47:31,,80 D,quangtinh
120,917,quangtinh,2020-10-02 15:47:32,,2020-10-02 15:47:32,,85 C,quangtinh
121,918,quangtinh,2020-10-02 15:47:32,,2020-10-02 15:47:32,,85 D,quangtinh
122,919,quangtinh,2020-10-02 15:47:56,,2020-10-02 15:47:56,,90 A,quangtinh
123,920,quangtinh,2020-10-02 15:47:56,,2020-10-02 15:47:56,,90 B,quangtinh
124,921,quangtinh,2020-10-02 15:47:56,,2020-10-02 15:47:57,,90 C,quangtinh
125,922,quangtinh,2020-10-02 15:47:57,,2020-10-02 15:47:57,,90 D,quangtinh
126,923,quangtinh,2020-10-02 15:49:47,,2020-10-02 15:49:47,,70 E,quangtinh
127,924,quangtinh,2020-10-02 15:49:47,,2020-10-02 15:49:48,,70 F,quangtinh
128,925,quangtinh,2020-10-02 15:49:48,,2020-10-02 15:49:48,,70 G,quangtinh
129,926,quangtinh,2020-10-02 15:49:48,,2020-10-02 15:49:48,,75 E,quangtinh
130,927,quangtinh,2020-10-02 15:49:48,,2020-10-02 15:49:48,,75 F,quangtinh
131,928,quangtinh,2020-10-02 15:49:49,,2020-10-02 15:49:49,,75 G,quangtinh
132,929,quangtinh,2020-10-02 15:49:49,,2020-10-02 15:49:49,,80 E,quangtinh
133,930,quangtinh,2020-10-02 15:49:49,,2020-10-02 15:49:49,,80 F,quangtinh
134,931,quangtinh,2020-10-02 15:49:49,,2020-10-02 15:49:50,,80 G,quangtinh
135,932,quangtinh,2020-10-02 15:49:50,,2020-10-02 15:49:50,,85 E,quangtinh
136,933,quangtinh,2020-10-02 15:49:50,,2020-10-02 15:49:50,,85 F,quangtinh
137,934,quangtinh,2020-10-02 15:49:50,,2020-10-02 15:49:51,,85 G,quangtinh
138,935,quangtinh,2020-10-02 15:49:51,,2020-10-02 15:49:51,,90 E,quangtinh
139,936,quangtinh,2020-10-02 15:49:51,,2020-10-02 15:49:51,,90 F,quangtinh
140,937,quangtinh,2020-10-02 15:49:51,,2020-10-02 15:49:52,,90 G,quangtinh
141,938,quangtinh,2020-10-02 16:16:41,,2020-10-02 16:16:41,,XS/S,quangtinh
142,939,quangtinh,2020-10-02 16:16:41,,2020-10-02 16:16:42,,M/L,quangtinh
143,940,quangtinh,2020-10-02 19:12:16,,2020-10-02 19:12:16,,32/36,quangtinh
144,941,quangtinh,2020-10-02 19:12:16,,2020-10-02 19:12:16,,33/36,quangtinh
145,942,quangtinh,2020-10-02 19:12:16,,2020-10-02 19:12:16,,34/36,quangtinh
146,943,quangtinh,2020-10-02 19:12:16,,2020-10-02 19:12:16,,36/36,quangtinh
147,944,quangtinh,2020-10-02 19:13:20,,2020-10-02 19:13:20,,43,quangtinh
148,945,quangtinh,2020-10-02 19:13:20,,2020-10-02 19:13:20,,45,quangtinh
149,946,quangtinh,2020-10-02 19:13:40,,2020-10-02 19:13:40,,54,quangtinh
150,947,quangtinh,2020-10-02 19:13:40,,2020-10-02 19:13:40,,56,quangtinh
151,948,quangtinh,2020-10-02 19:13:40,,2020-10-02 19:13:40,,94,quangtinh
152,949,quangtinh,2020-10-02 19:13:40,,2020-10-02 19:13:40,,98,quangtinh
153,950,quangtinh,2020-10-02 19:13:40,,2020-10-02 19:13:40,,102,quangtinh
154,951,quangtinh,2020-10-02 19:13:40,,2020-10-02 19:13:40,,106,quangtinh
155,952,quangtinh,2020-10-02 19:14:44,,2020-10-02 19:14:44,,3XL,quangtinh
156,953,quangtinh,2020-10-02 19:15:57,,2020-10-02 19:15:57,,31/36,quangtinh
157,954,quangtinh,2020-10-02 19:16:57,,2020-10-02 19:16:57,,105,quangtinh
158,955,quangtinh,2020-10-02 19:16:57,,2020-10-02 19:16:57,,110,quangtinh
159,956,quangtinh,2020-10-02 19:17:44,,2020-10-02 19:17:44,,39-42,quangtinh
160,957,quangtinh,2020-10-02 19:17:44,,2020-10-02 19:17:44,,43-46,quangtinh
161,958,quangtinh,2020-10-02 19:42:49,,2020-10-02 19:42:50,,35/36,quangtinh
162,959,quangtinh,2020-10-02 19:42:50,,2020-10-02 19:42:50,,37/38,quangtinh
163,960,quangtinh,2020-10-02 19:42:50,,2020-10-02 19:42:50,,39/40,quangtinh
164,961,quangtinh,2020-10-02 19:42:50,,2020-10-02 19:42:50,,41/42,quangtinh
165,962,quangtinh,2020-10-02 19:42:50,,2020-10-02 19:42:50,,43/44,quangtinh
166,963,quangtinh,2020-10-02 19:42:50,,2020-10-02 19:42:50,,45/46,quangtinh
167,964,quangtinh,2020-10-02 20:07:51,,2020-10-02 20:07:51,,92,quangtinh
168,965,quangtinh,2020-10-02 20:07:51,,2020-10-02 20:07:51,,104/110,quangtinh
169,966,quangtinh,2020-10-02 20:07:51,,2020-10-02 20:07:51,,116/122,quangtinh
170,967,quangtinh,2020-10-02 20:07:51,,2020-10-02 20:07:51,,128/134,quangtinh
171,968,quangtinh,2020-10-02 20:08:52,,2020-10-02 20:08:52,,L(164),quangtinh
172,969,quangtinh,2020-10-02 20:08:52,,2020-10-02 20:08:52,,M(152),quangtinh
173,970,quangtinh,2020-10-02 20:08:52,,2020-10-02 20:08:52,,S(140),quangtinh
174,971,quangtinh,2020-10-02 20:08:52,,2020-10-02 20:08:52,,XL(176),quangtinh
175,972,quangtinh,2020-10-02 20:08:52,,2020-10-02 20:08:52,,XS(128),quangtinh
176,973,quangtinh,2020-10-02 20:18:17,,2020-10-02 20:18:17,,53,quangtinh
177,974,quangtinh,2020-10-02 20:18:17,,2020-10-02 20:18:17,,55,quangtinh
178,975,quangtinh,2020-10-02 20:18:17,,2020-10-02 20:18:17,,57,quangtinh
179,976,quangtinh,2020-10-02 20:18:41,,2020-10-02 20:18:41,,51,quangtinh
180,977,quangtinh,2020-10-02 20:18:52,,2020-10-02 20:18:52,,92/98,quangtinh
181,978,quangtinh,2020-10-02 20:18:52,,2020-10-02 20:18:52,,140/146,quangtinh
